id,franking_percentage,notes,payable_date,dividend_per_share,ex_dividend_date,dividend_date,symbol,dividend_type
,1.0,,2017-04-04,0.01,2017-06-03,,8EC,Interim
,1.0,2C FRANKED @30%,2017-09-25,0.02,2017-08-31,2017-09-01,8EC,Final
,1.0,,2018-06-04,0.01,2018-05-03,,8EC,Interim
,0.0,,2015-08-31,0.009899999999999999,2015-10-07,,8IH,Final
,0.0,,2015-01-12,0.0049,2015-11-11,,8IH,Interim
,0.0,,2016-01-09,0.0048,2016-08-15,,8IH,Final
,0.0,,2017-01-09,0.0023,2017-11-08,,8IH,Final
,0.0,DRP NIL DISCOUNT,2017-07-18,0.082856,2017-07-03,2017-07-04,AAA,Final
,0.0,DRP NIL DISCOUNT,2017-08-16,0.08568300000000001,2017-08-01,2017-08-02,AAA,Interim
,0.0,DRP NIL DISCOUNT,2017-09-18,0.08541499999999999,2017-09-01,2017-09-04,AAA,Interim
,0.0,DRP NIL DISCOUNT,2017-10-17,0.079952,2017-10-02,2017-10-03,AAA,Interim
,0.0,DRP NIL DISCOUNT,2017-11-16,0.08781,2017-11-01,2017-11-02,AAA,Interim
,0.0,DRP NIL DISCOUNT,2017-12-18,0.082735,2017-12-01,2017-12-04,AAA,Interim
,0.0,DRP NIL DISCOUNT,2018-01-17,0.080259,2018-01-02,2018-01-03,AAA,Interim
,0.0,DRP NIL DISCOUNT,2018-02-16,0.091339,2018-02-01,2018-02-02,AAA,Interim
,0.0,DRP NIL DISCOUNT,2018-03-16,0.077624,2018-03-01,2018-03-02,AAA,Interim
,0.0,EST 8.011731C; DRP N IL DISCOUNT,2018-04-18,0.080117,2018-04-03,2018-04-04,AAA,Interim
,0.0,,2002-12-17,0.013000000000000001,2002-07-11,,ABP,Q2
,0.0,,2002-08-11,0.0262,2002-09-24,,ABP,Q1
,0.0,,2003-02-13,0.013300000000000001,2003-01-13,,ABP,Q2
,0.0,,2003-09-05,0.0262,2003-03-25,,ABP,Q3
,0.0,,2003-12-08,0.0262,2003-06-24,,ABP,Q4
,0.0,,2003-12-11,0.0263,2003-09-24,,ABP,Interim
,0.0,,2004-12-02,0.027999999999999997,2003-12-23,,ABP,Interim
