id,franking_percentage,notes,payable_date,dividend_per_share,ex_dividend_date,dividend_date,symbol,divident_type
,1,2C FRANKED @30%,2017-09-25,0.02,2017-08-31,2017-09-01,8EC,Final
,1,1C FRANKED @30%,2018-04-06,0.01,2018-03-05,2018-03-06,8EC,Interim
,0,SGD 0.25C PER CDI,2017-09-01,0.002328,2017-08-11,2017-08-14,8IH,Final
,0,DRP NIL DISCOUNT,2017-07-18,0.082856,2017-07-03,2017-07-04,AAA,Final
,0,DRP NIL DISCOUNT,2017-08-16,0.085683,2017-08-01,2017-08-02,AAA,Interim
,0,DRP NIL DISCOUNT,2017-09-18,0.085415,2017-09-01,2017-09-04,AAA,Interim
,0,DRP NIL DISCOUNT,2017-10-17,0.079952,2017-10-02,2017-10-03,AAA,Interim
,0,DRP NIL DISCOUNT,2017-11-16,0.08781,2017-11-01,2017-11-02,AAA,Interim
,0,DRP NIL DISCOUNT,2017-12-18,0.082735,2017-12-01,2017-12-04,AAA,Interim
,0,DRP NIL DISCOUNT,2018-01-17,0.080259,2018-01-02,2018-01-03,AAA,Interim
,0,DRP NIL DISCOUNT,2018-02-16,0.091339,2018-02-01,2018-02-02,AAA,Interim
,0,DRP NIL DISCOUNT,2018-03-16,0.077624,2018-03-01,2018-03-02,AAA,Interim
,0,EST 8.011731C; DRP N IL DISCOUNT,2018-04-18,0.080117,2018-04-03,2018-04-04,AAA,Interim
,0,DRP,2017-08-31,0.0875,2017-07-06,2017-07-07,ABP,Final
,0,DRP,2018-02-28,0.09,2018-01-17,2018-01-18,ABP,Interim
,0,DRP NIL DISCOUNT,2017-08-11,0.0082,2017-06-29,2017-06-30,ABW,Final
,0,DRP NIL DISCOUNT,2017-10-19,0.0069,2017-09-28,2017-09-29,ABW,Interim
,0,DRP NIL DISCOUNT,2018-01-18,0.0069,2017-12-28,2017-12-29,ABW,Interim
,0,DRP NIL DISCOUNT,2018-04-19,0.0065,2018-03-28,2018-03-29,ABW,Interim
,1,2C FRANKED @ 30%; DR P,2017-09-29,0.02,2017-09-11,2017-09-12,ACQ,Final
,1,2.7C FRANKED @ 30%;  DRP,2018-05-21,0.027,2018-05-02,2018-05-03,ACQ,Interim
,1,2.5C FRANKED@30%; DR P SUSPENDED,2017-12-06,0.025,2017-11-22,2017-11-23,AEG,Final
,1,2C FRANKED@30%; DRP  NIL DISCOUNT,2018-05-18,0.02,2018-03-29,2018-04-03,AEG,Interim
,1,14C FRANKED @ 30%; D RP & DSSP NIL DISC,2017-08-30,0.14,2017-08-08,2017-08-09,AFI,Final
,1,10C FRANKED @ 30%; D RP & DSSP NIL DISC,2018-02-23,0.1,2018-02-08,2018-02-09,AFI,Interim
,0,DRP NIL DISCOUNT,2017-08-11,0.0154,2017-06-29,2017-06-30,AIB,Final
,0,DRP NIL DISCOUNT,2017-10-19,0.0124,2017-09-28,2017-09-29,AIB,Interim
,0,DRP NIL DISCOUNT,2018-01-18,0.0123,2017-12-28,2017-12-29,AIB,Interim
,0,DRP NIL DISCOUNT,2018-04-19,0.0113,2018-03-28,2018-03-29,AIB,Interim
,0,EST 2.43C,2017-08-28,0.0243,2017-06-29,2017-06-30,AJD,Final
,0,EST 5C,2018-01-25,0.05,2017-12-28,2017-12-29,AJD,Interim
,0,EST 2C,2018-04-24,0.02,2018-03-28,2018-03-29,AJD,Interim
,0,UNFRANKED; NIL CFI;  DRP NIL DISC,2017-09-29,0.025,2017-09-08,2017-09-11,ALI,Final
,0,UNFRANKED; NIL CFI;  DRP NIL DISC,2018-03-23,0.0125,2018-03-02,2018-03-05,ALI,Interim
,1,2C FRANKED @30%; DRP,2017-07-28,0.02,2017-06-23,2017-06-26,ALR,Final
,1,1C FRANKED @30%; DRP,2017-10-27,0.01,2017-10-06,2017-10-09,ALR,Interim
,1,1C FRANKED @30%; DRP,2018-02-02,0.01,2018-01-05,2018-01-08,ALR,Interim
,1,1.25C FRANKED @30%;  DRP,2018-05-04,0.0125,2018-04-06,2018-04-09,ALR,Interim
,1,3.5C FRANKED@27.5%;  DRP; 2.14C LIC CG,2017-08-24,0.035,2017-08-07,2017-08-08,AMH,Final
,0,DRP NIL DISCOUNT,2017-07-28,0.0149,2017-06-29,2017-06-30,AOD,Final
,0.77,0.24C FRANKED@30%; D RP,2017-08-18,0.0031,2017-07-28,2017-07-31,AOD,Interim
,1,0.31C FRANKED@30%; D RP NIL DISCOUNT,2017-09-13,0.0031,2017-08-30,2017-08-31,AOD,Interim
,1,0.31C FRANKED@30%; D RP NIL DISCOUNT,2017-10-12,0.0031,2017-09-28,2017-09-29,AOD,Interim
,1,0.33C FRANKED@30%; D RP NIL DISCOUNT,2017-11-15,0.0033,2017-10-30,2017-10-31,AOD,Interim
,0.48,0.16C FRANKED@30%; D RP NIL DISCOUNT,2017-12-13,0.0033,2017-11-29,2017-11-30,AOD,Interim
,0.52,0.17C FRANKED@30%; D RP NIL DISCOUNT,2018-01-18,0.0033,2017-12-28,2017-12-29,AOD,Interim
,0.38,0.12C FRANKED@30%; D RP NIL DISCOUNT,2018-02-15,0.0032,2018-01-30,2018-01-31,AOD,Interim
,0,UNFRANKED; DRP NIL D ISCOUNT,2018-03-15,0.0033,2018-02-27,2018-02-28,AOD,Interim
,1,0.32C FRANKED@30%; D RP NIL DISCOUNT,2018-04-19,0.0032,2018-03-28,2018-03-29,AOD,Interim
,0.2,4.6667C FR@30%; 14.4 577C TAX DEF;DRP SUS,2017-09-13,0.23,2017-06-29,2017-06-30,APA,Final
,0.28,5.8333C FR@30%; 9.66 45C TAX DEF;DRP SUSP,2018-03-14,0.21,2017-12-28,2017-12-29,APA,Interim
,0,100% TAX DEFERRED,2017-09-15,0.015059,2017-06-29,2017-06-30,APW,Final
,0,,2017-12-15,0.011707,2017-09-28,2017-09-29,APW,Interim
,0,100% TAX DEFERRED,2018-03-16,0.004926,2017-12-28,2017-12-29,APW,Interim
,0,,2018-06-15,0.008001,2018-03-28,2018-03-29,APW,Interim
,0,DRP SUSPENDED,2017-08-29,0.025,2017-06-27,2017-06-28,APZ,Final
,0,SPECIAL; DRP SUSPEND ED,2017-10-20,0.05,2017-10-04,2017-10-05,APZ,Interim
,0,DRP SUSPENDED,2018-02-27,0.021,2017-12-28,2017-12-29,APZ,Interim
,1,3C FRANKED @ 30%; DR P,2017-09-25,0.03,2017-08-25,2017-08-28,AQF,Final
,1,3C FRANKED @30%; SPE CIAL; DRP,2018-01-12,0.03,2017-11-24,2017-11-27,AQF,Interim
,1,5C FRANKED @30%; 2C  SPECIAL; DRP,2018-03-29,0.05,2018-03-02,2018-03-05,AQF,Interim
,0,0.9357C TAX DEFERRED ; DRP,2017-08-10,0.03075,2017-06-29,2017-06-30,ARF,Final
,0,DRP,2017-11-09,0.032,2017-09-28,2017-09-29,ARF,Interim
,0,1.109C TAX DEFERRED;  DRP,2018-02-08,0.032,2017-12-28,2017-12-29,ARF,Interim
,0,DRP,2018-05-10,0.032,2018-03-28,2018-03-29,ARF,Interim
,1,16C FRANKED@30%;5C L IC CG;DRP,2017-09-15,0.16,2017-08-25,2017-08-28,ARG,Final
,1,15.5C FRANKED@30%;DR P,2018-03-09,0.155,2018-02-16,2018-02-19,ARG,Interim
,0,UNFRANKED;NIL CFI;DR P NIL DISC,2017-12-21,0.0463,2017-11-20,2017-11-21,AST,Interim
,1,1.1C FRANKED @ 30%;  DRP,2017-09-25,0.011,2017-08-29,2017-08-30,AUF,Final
,1,1.1C FRANKED @ 30%;  DRP,2018-03-29,0.011,2018-02-27,2018-02-28,AUF,Interim
,1,18.5C FRANKED@30%; D RP NIL DISCOUNT,2017-09-22,0.185,2017-08-30,2017-08-31,AUI,Final
